"DisplayName";"Id";"Type";"isTrusted";"ipRanges";"Country";"includeUnknownCountriesAndRegions";"countryLookupMethod"
"Provisioning Workers";"098d0991-7e15-4547-ba59-0b44409ed2af";"ipNamedLocation";"True";"20.29.89.128/32";"";;
"Stockpiling Workers";"07b66218-55cf-44d6-9e0a-448c3b4610b7";"ipNamedLocation";"True";"52.173.198.84/32";"";;
"Teams Workers";"0220054d-fb39-42e9-a7d4-cb2a1a1a0085";"ipNamedLocation";"True";"172.174.211.132/32";"";;
"ME Services";"000adc47-1fc3-406d-8f3b-0826890ac1fd";"ipNamedLocation";"True";"20.83.16.221/32,20.83.16.233/32,20.83.16.235/32,20.83.16.236/32,20.83.17.10/32,20.83.17.61/32,20.83.17.88/32,20.83.17.97/32,20.83.17.98/32,20.83.17.113/32,20.83.17.114/32,20.83.17.118/32,20.83.17.124/32,20.83.17.140/32,20.83.17.174/32,20.83.17.190/32,20.83.17.194/32,20.83.17.196/32,20.83.17.214/32,20.83.17.220/32,20.83.17.233/32,20.83.17.234/32,20.83.17.236/32,20.83.17.238/32,20.83.17.240/32,20.83.17.243/32,20.83.18.6/32,20.83.18.11/32,20.83.18.22/32,20.83.18.58/32,20.40.202.31/32";"";;
"Untrusted IP named location";"02062007-e335-425a-a955-59aede69dc00";"ipNamedLocation";"False";"102.133.177.48/32,102.133.178.191/32,102.133.179.13/32,102.133.179.133/32,102.133.179.147/32,102.133.179.148/32,102.133.179.152/32,102.133.179.181/32,102.133.179.74/32,102.133.179.82/32,108.142.230.59/32,108.143.43.187/32,172.171.236.24/32,172.172.34.115/32,172.172.34.12/32,172.200.70.13/32,172.200.70.35/32,172.200.70.89/32,172.201.77.133/32,172.201.77.143/32,172.201.77.19/32,172.201.77.190/32,172.201.77.209/32,172.201.77.43/32,172.201.77.58/32,20.1.167.57/32,20.1.194.235/32,20.107.46.209/32,20.107.5.167/32,20.110.218.7/32,20.114.144.49/32,20.165.150.209/32,20.223.216.0/32,20.223.218.18/32,20.223.221.201/32,20.223.223.173/32,20.230.14.159/32,20.236.10.120/32,20.236.10.129/32,20.236.10.163/32,20.236.10.206/32,20.236.10.66/32,20.236.11.102/32,20.236.11.185/32,20.236.11.29/32,20.236.11.42/32,20.236.11.69/32,20.24.150.112/32,20.29.225.195/32,20.97.10.32/32,20.97.10.99/32,20.97.11.107/32,20.97.11.144/32,20.97.11.149/32,20.97.11.153/32,20.97.11.158/32,20.97.11.160/32,20.97.11.167/32,20.97.9.18/32,4.194.122.136/32,4.194.122.144/32,4.194.122.162/32,4.194.122.170/32,4.194.122.182/32,4.194.122.202/32,4.194.122.226/32,4.194.122.236/32,4.194.122.251/32,4.194.122.254/32,4.255.187.100/32,4.255.188.122/32,4.255.188.161/32,4.255.188.164/32,4.255.188.38/32,4.255.188.99/32,4.255.189.103/32,4.255.189.5/32,4.255.189.65/32,40.112.192.173/32,40.78.10.189/32,40.78.12.133/32,40.78.12.246/32,40.78.13.147/32,40.78.13.173/32,40.78.4.132/32,40.78.4.249/32,40.78.5.63/32,40.78.5.84/32,98.71.102.111/32,98.71.102.121/32,98.71.102.132/32,98.71.102.193/32,98.71.102.223/32,98.71.96.0/32,98.71.99.23/32,98.71.99.239/32,167.220.232.0/23,167.220.232.0/25,167.220.232.128/25,167.220.233.0/25,167.220.233.128/25,167.220.255.0/25,167.220.255.0/27,167.220.255.32/27,167.220.255.64/27,2404:f801:8050:1::/64,2404:f801:8050:2::/64,2404:f801:8050:3::/64,2404:f801:8050:4::/64,2404:f801:9000:18::/64,2404:f801:9000:19::/64,2404:f801:9000:1a::/64,2404:f801:9000:1b::/64,207.68.190.32/27,13.106.78.32/27,13.106.174.32/27,13.106.4.96/27,157.58.216.64/26,194.69.119.64/26,167.220.249.128/26,25.4.0.0/16,25.5.0.0/16,25.6.0.0/16,25.7.0.0/16,2001:4898:b080::/64,2a01:110:b080::/64,2404:f801:b080::/64,2001:4898:3000::/42,2a01:110:3000::/42,2404:f801:3000::/42,20.109.144.45/32,20.99.251.48/29,20.81.101.134/32,52.234.169.112/29,20.82.62.200/32,20.103.232.0/29,20.44.193.120/32,20.44.241.192/29,4.228.161.176/28,20.87.233.112/28,20.56.251.16/28,20.166.137.160/28,40.86.170.75/32,20.76.187.9/32,20.86.158.88/32,52.184.23.242/32,52.229.156.132/32,20.24.16.51/32,20.212.219.232/32,20.122.83.23/32,52.177.137.89/32,20.96.33.212/32,20.198.97.72/32,20.198.100.175/32,52.172.239.19/32,20.99.218.122/32,20.214.149.177/32,20.214.148.170/32,20.111.32.62/32,20.111.28.103/32,20.74.137.235/32,20.203.1.239/32,20.100.184.180/32,20.100.184.114/32,20.106.100.25/32,20.118.130.119/32,20.240.60.143/32,20.240.56.208/32";"";;
"VPN and SAW IP Ranges";"06f43ba6-220f-4f13-b0fd-e75b737e5c80";"ipNamedLocation";"False";"102.133.177.48/32,102.133.178.191/32,102.133.179.13/32,102.133.179.133/32,102.133.179.147/32,102.133.179.148/32,102.133.179.152/32,102.133.179.181/32,102.133.179.74/32,102.133.179.82/32,108.142.230.59/32,108.143.43.187/32,172.171.236.24/32,172.172.34.115/32,172.172.34.12/32,172.200.70.13/32,172.200.70.35/32,172.200.70.89/32,172.201.77.133/32,172.201.77.143/32,172.201.77.19/32,172.201.77.190/32,172.201.77.209/32,172.201.77.43/32,172.201.77.58/32,20.1.167.57/32,20.1.194.235/32,20.107.46.209/32,20.107.5.167/32,20.110.218.7/32,20.114.144.49/32,20.165.150.209/32,20.223.216.0/32,20.223.218.18/32,20.223.221.201/32,20.223.223.173/32,20.230.14.159/32,20.236.10.120/32,20.236.10.129/32,20.236.10.163/32,20.236.10.206/32,20.236.10.66/32,20.236.11.102/32,20.236.11.185/32,20.236.11.29/32,20.236.11.42/32,20.236.11.69/32,20.24.150.112/32,20.29.225.195/32,20.97.10.32/32,20.97.10.99/32,20.97.11.107/32,20.97.11.144/32,20.97.11.149/32,20.97.11.153/32,20.97.11.158/32,20.97.11.160/32,20.97.11.167/32,20.97.9.18/32,4.194.122.136/32,4.194.122.144/32,4.194.122.162/32,4.194.122.170/32,4.194.122.182/32,4.194.122.202/32,4.194.122.226/32,4.194.122.236/32,4.194.122.251/32,4.194.122.254/32,4.255.187.100/32,4.255.188.122/32,4.255.188.161/32,4.255.188.164/32,4.255.188.38/32,4.255.188.99/32,4.255.189.103/32,4.255.189.5/32,4.255.189.65/32,40.112.192.173/32,40.78.10.189/32,40.78.12.133/32,40.78.12.246/32,40.78.13.147/32,40.78.13.173/32,40.78.4.132/32,40.78.4.249/32,40.78.5.63/32,40.78.5.84/32,98.71.102.111/32,98.71.102.121/32,98.71.102.132/32,98.71.102.193/32,98.71.102.223/32,98.71.96.0/32,98.71.99.23/32,98.71.99.239/32,167.220.232.0/23,167.220.232.0/25,167.220.232.128/25,167.220.233.0/25,167.220.233.128/25,167.220.255.0/25,167.220.255.0/27,167.220.255.32/27,167.220.255.64/27,2404:f801:8050:1::/64,2404:f801:8050:2::/64,2404:f801:8050:3::/64,2404:f801:8050:4::/64,2404:f801:9000:18::/64,2404:f801:9000:19::/64,2404:f801:9000:1a::/64,2404:f801:9000:1b::/64,207.68.190.32/27,13.106.78.32/27,13.106.174.32/27,13.106.4.96/27,157.58.216.64/26,194.69.119.64/26,167.220.249.128/26,25.4.0.0/16,25.5.0.0/16,25.6.0.0/16,25.7.0.0/16,2001:4898:b080::/64,2a01:110:b080::/64,2404:f801:b080::/64,2001:4898:3000::/42,2a01:110:3000::/42,2404:f801:3000::/42,20.109.144.45/32,20.99.251.48/29,20.81.101.134/32,52.234.169.112/29,20.82.62.200/32,20.103.232.0/29,20.44.193.120/32,20.44.241.192/29,4.228.161.176/28,20.87.233.112/28,20.56.251.16/28,20.166.137.160/28,40.86.170.75/32,20.76.187.9/32,20.86.158.88/32,52.184.23.242/32,52.229.156.132/32,20.24.16.51/32,20.212.219.232/32,20.122.83.23/32,52.177.137.89/32,20.96.33.212/32,20.198.97.72/32,20.198.100.175/32,52.172.239.19/32,20.99.218.122/32,20.214.149.177/32,20.214.148.170/32,20.111.32.62/32,20.111.28.103/32,20.74.137.235/32,20.203.1.239/32,20.100.184.180/32,20.100.184.114/32,20.106.100.25/32,20.118.130.119/32,20.240.60.143/32,20.240.56.208/32,20.18.202.64/28,20.214.73.32/28,20.215.178.48/28,4.232.219.128/28,4.224.74.16/28,20.44.55.128/28";"";;
